ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
ถ้วยทองยำส้มโอ,"กุ้ง, ส้มโอ, หัวกะทิ, น้ำมะนาว, น้ำปลา, น้ำตาลมะพร้าว, น้ำพริกเผา, ใบมะกรูด, ผักชี, หอมเจียว, กระเทียมเจียว, แป้งสาลีอเนกประสงค์, แป้งข้าวเจ้า, น้ำเปล่า, น้ำปูน, ไข่แดง, เกลือป่น, น้ำมันพืช",,เพิ่งได้ส้มโอมาจากสวนข้างบ้าน อยากทำอะไรแซ่บๆ ใส่พริก ใส่น้ำตาล กุ้งแห้ง เพิ่มอรรถรสในการกิน ,,
ทองหยอด,"น้ำตาลทรายขาว, น้ำเปล่า, น้ำกลิ่นมะลิ, ไข่แดง, แป้งข้าวเจ้า, แป้งมัน, ควันเทียน, ไข่เป็ด",,ช่วงนี้ดอกมะลิแถวบ้านออกผลอยากนำเอามาปรุงรสอาหาร ใส่น้ำตาล ใน่ไข่ แป้ง จะสามารถทำเมนูอะไรได้บ้าง,,
ทอดมันปลากราย,"ปลากราย, ถั่วฝักยาว, ไข่ไก่, พริกแกง, ใบมะกรูด, น้ำตาล, เกลือ, น้ำปลา, น้ำมัน, น้ำแข็ง",,อยากกินทอดมันปลากราย จากเนื้อปลากรายอร่อยๆ,,
ทูน่าคอร์นสลัด,"ผัก, น้ำสลัด, ทูน่ากระป๋อง, สับปะรด",,มีทัู้น่ากระป่องเยอะมาก อยากเอามาทำสลัด ,,
เทนชินฮัง,"เนยจืด, โชยุ, น้ำสต๊อกไก่, น้ำตาลทราย, เกลือ, พริกไทย, น้ำส้มสายชู, น้ำมันงา, แป้งมัน, ปูอัด, ไข่ไก่, มายองเนส, ซุปดาชิ, เกลือ, พริกไทย, น้ำมันพืช, ข้าวญี่ปุ่น, ถั่วฃ",,มีไก่ มิริน โชยุ ซุปดาซิ ไก่ ข้าว ถั่ว ปูอัด ไข่เยอะมาก อยากทำเมนูที่มีกลิ่นไอเหมือนญี่ปู่น แต่อรรอยกว่านั้นมาก,,
โทสต์อะโวคาโดไข่ดาวน้ำ,"ขนมปัง, ไข่ไก่, อะโวคาโด, มะเขือเทศ, หอมแดง, น้ำเลมอน, ผักชี, เกลือ, พริกไทย, ชีส, เนยเค็ม",,ได้อโวคาโดมาจากแม่สอด อยากเอามาทำอาหาร อร่อยๆ กินยามเช้่ ใส่มะเขือเทศ หอมแดง น้ำเลมอน เพิ่มเพื่อความนัวของอโวคาโด มีชีสยิ่งดีแน่ๆเลน,,
นมน้ำผึ้งอุ่น,"นมจืด, น้ำผึ้ง",,อยากกินนมอุ่นก่อนนอน,,
นมเย็นชมพู,"น้ำหวาน, นมข้นหวาน, นมข้นจืด, น้ำแข็ง",,รู้สึ฿กช่วงนี้ร้อนๆทำอะไรกินดี ที่บ้านมี นม ขนมปัง น้ำแดง นมข้นหวาน เยลลี่ ส้ม ทำอะไรกินดีน้า,,
น้ำกระชายน้ำผึ้งมะนาว,"กระชาย, มะนาว, น้ำสะอาด, น้ำผึ้ง",,ได้กระชายสดๆมาจาหท่านชาย อยากเอามาทำเครื่องดื่มีบกระหาย รสชาติหวานกำลังดี ถุกคอ,,
น้ำเต้าหู้,"ถั่วเหลือง, น้ำสะอาด",,ดึกแล้วๆ อยากกินน้ำเต้าหู้ ,,
น้ำเต้าหู้งาดำ,"ถั่วเหลือง, ใบเตย, งาดำ, น้ำเปล่า",,มีงาดำ ใบเตย ถั่วเหลือง ฟักทอง เต้าหู้ทำอะไรกินดีเพื่อเป็นขนมหวานตบท้ายมื้ออาหาร,,
น้ำแตงโมปั่น,"เนื้อแตงโม, น้ำเชื่อม, น้ำแข็ง",,อากาศร้อนๆ อยากกินแตงโมปั่นนน,,
น้ำผัดไทยสำเร็จรูป #ซอสมะขาม (เก็บใว้ใช้ ได้นาน),"มะขามเปียก,  น้ำตาลปี๊บ,  น้ำปลา,  น้ำพริกเผา,  ซอสพริก",,มีวัตถุดิบเหลือๆ พวกน้ำมะขามเปียก น้ำตาล น้ำปลา พริกเผา ซอสพริก ซอสหอย สามารถเอาไปทำอะไรต่อได้บ้าง,,
น้ำพริกกากหมู,"มันหมู,  พริกป่น,  น้ำตาลทราย,  เกลือ,  กระเทียมเจียว,  หอมเจียว,  น้ำมันหมู,  คนอร์",,มีมันหมู พริก น้ำตาล เกลือ กอมเจียว กระเทียม สามารถเอามาทำเมนุอะไรได้บ้าง,,
น้ำพริกปลาแซลมอน,"แซลมอน, หอมแดง, กระเทียม, พริกชี้ฟ้า, พริกขี้หนู, น้ำตาลทราย, น้ำมะนาว, น้ำปลา",,อยากกินน้ำพริกอร่อยๆ แกลมๆโดยเรามีแซลมอนมาฝาก ใส่พริกเยอะ ๆน้ำมะนาวเพิ่มเปรี้ยว น้ำปลาเพิ่มเค็ม,,
น้ำพริกปลาร้า,"พริกชี้ฟ้า,  หอมแดง,  กระเทียม,  ปลาร้า,  น้ำเปล่า,  มะนาว",,อยากกินน้ำพริกปลาร้า,,
น้ำพริกเผาผัดหมูสับ,"พริกแห้ง, หอมแดง, กระเทียม, น้ำมัน, หมูสับ, น้ำสะอาด, น้ำตาลปี๊บ, น้ำปลา, มะขามเปียก",,มีพริิกแห้งเยอะมาก หอมแดง กระเทียม และอยากให้เป็นเมนูที่ใส่หมูสับเยอะๆๆ,,
